004358,SNES00_HDMA5_Midframe_Addr_Lo,
004359,SNES00_HDMA5_Midframe_Addr_Hi,
00435A,SNES00_HDMA5_Line_Counter,
004360,SNES00_DMA6_Control,
004361,SNES00_DMA6_Destination,
004362,SNES00_DMA6_Src_Addr_Lo,
004363,SNES00_DMA6_Src_Addr_Mid,
004364,SNES00_DMA6_Src_Addr_Hi,
004365,SNES00_DMA6_Size_HDMA_Indirect_Addr_Lo,
004366,SNES00_DMA6_Size_HDMA_Indirect_Addr_Mid,
004367,SNES00_HDMA6_Indirect_Addr_Hi,
004368,SNES00_HDMA6_Midframe_Addr_Lo,
004369,SNES00_HDMA6_Midframe_Addr_Hi,
00436A,SNES00_HDMA6_Line_Counter,
004370,SNES00_DMA7_Control,
004371,SNES00_DMA7_Destination,
004372,SNES00_DMA7_Src_Addr_Lo,
004373,SNES00_DMA7_Src_Addr_Mid,
004374,SNES00_DMA7_Src_Addr_Hi,
004375,SNES00_DMA7_Size_HDMA_Indirect_Addr_Lo,
004376,SNES00_DMA7_Size_HDMA_Indirect_Addr_Mid,
004377,SNES00_HDMA7_Indirect_Addr_Hi,
004378,SNES00_HDMA7_Midframe_Addr_Lo,
004379,SNES00_HDMA7_Midframe_Addr_Hi,
00437A,SNES00_HDMA7_Line_Counter,
700000,SRAM70_Check,When SRAM is present, this address will save values
7E0096,WRAM7E_TaskPointer,
7E00A3,WRAM7E_FinishedLogic,
7E00A5,WRAM7E_WaitForVBlank,
7E00A7,WRAM7E_GameFrames,
7E00AB,WRAM7E_GameMinutes,
7E00AD,WRAM7E_GameSeconds,
7E00AF,WRAM7E_PadRepeatDelay,
7E00B3,WRAM7E_Pad1State,
7E00B5,WRAM7E_Pad2State,
7E00B7,WRAM7E_Pad1Press,
7E00B9,WRAM7E_Pad2Press,
7E00BB,WRAM7E_Pad1Repeat,
7E00BD,WRAM7E_Pad2Repeat,
7E00BF,WRAM7E_Pad1StateAlt,
7E00C5,WRAM7E_Pad1RepeatFramesLeft,
7E00C7,WRAM7E_Pad2StateAlt,
7E00CD,WRAM7E_Pad2RepeatFramesLeft,
7E01B6,WRAM7E_CurrentBrightness,
7E01CB,WRAM7E_BG1_HScroll,
7E01CD,WRAM7E_BG1_VScroll,
7E01CF,WRAM7E_BG2_HScroll,
7E01D1,WRAM7E_BG2_VScroll,
7E01D3,WRAM7E_BG3_HScroll,
7E01D5,WRAM7E_BG3_VScroll,
7E01F1,WRAM7E_HDMAEnableAlt,
7E021E,WRAM7E_HDMAEnable,
7E02A0,WRAM7E_GameState,
7E02A2,WRAM7E_GameSubstate,
7E02A8,WRAM7E_PlayersIndicator,
7E02BA,WRAM7E_CharacterIndex1,
7E02BC,WRAM7E_CharacterIndex2,
7E02C2,WRAM7E_Score_Lo,
7E02C4,WRAM7E_Score_Hi,
7E02C6,WRAM7E_CheckpointScore_Lo,
7E02C8,WRAM7E_CheckpointScore_Hi,
7E0332,WRAM7E_IngameHours,
7E0334,WRAM7E_IngameMinutes,
7E0336,WRAM7E_IngameSeconds,
7E033C,WRAM7E_StageClearRoundIndex,
7E033E,WRAM7E_StageClearStageIndex,
7E0342,WRAM7E_StageClearRoundClears,
